Sample_ID	CRT	IRT	RBT	WCT	YCT
Bear_17_200	0.000230542	0.994345404	0.994575946	0.005424054	0
Bear_17_201	0.000326906	0.997771583	0.998098489	0.001901511	0
Bear_17_202	0.000257439	0.997121491	0.99737893	0.00262107	0
Bear_17_203	0	1	1	0	0
Bear_17_205	0	0.994946052	0.994946052	0.005053948	0
Bear_17_208	0.000266446	0.996123444	0.99638989	0.00361011	0
Bear_17_209	0.000158448	0.995643464	0.995801912	0.004198088	0
Bear_17_210	0.000580948	0.997590935	0.998171882	0.001828118	0
Bear_21_001	0.039533725	0.941610731	0.981144456	0.018855544	0
Bear_21_002	0.012565133	0.979077798	0.991642931	0.008357069	0
Bear_21_003	0.03157842	0.962898778	0.994477199	0.005522801	0
Bear_21_004	0.081444685	0.901525814	0.982970499	0.017029501	0
Bear_21_005	0.072823597	0.918412246	0.991235842	0.008762336	0.00000182
Bear_21_006	0.036016467	0.961186993	0.99720346	0.00279654	0
Bear_21_007	0.0416933	0.951149409	0.992842709	0.007157291	0
Bear_21_008	0.041095007	0.952707255	0.993802262	0.006197738	0
Bear_21_009	0.06412036	0.929689911	0.993810271	0.006189729	0
Bear_21_010	0.089749962	0.904484096	0.994234058	0.005765942	0
Bear_21_011	0.042397175	0.950131952	0.992529127	0.007470873	0
Bear_21_013	0.069866377	0.928871181	0.998737558	0.001262442	0
Bear_21_014	0.049596047	0.939568202	0.989164249	0.010835751	0
Bear_21_015	0.040430305	0.949282835	0.98971314	0.01028686	0
Bear_21_016	0.048429227	0.948020661	0.996449888	0.003550112	0
Bear_21_017	0.062172458	0.923099834	0.985272292	0.014727708	0
Bear_21_018	0.042731124	0.946922088	0.989653212	0.010346788	0
Bear_21_019	0.00796384	0.988158466	0.996122307	0.003877693	0
Bear_21_021	0.047282829	0.944508577	0.991791406	0.008208594	0
Bear_21_022	0.062901455	0.931059782	0.993961237	0.006038763	0
Bear_21_023	0.055260368	0.93856007	0.993820438	0.006179562	0
Bear_21_024	0.053092171	0.941760194	0.994852364	0.005147636	0
Bear_21_026	0.04925332	0.944168871	0.993422191	0.006577809	0
Bear_21_027	0.050524618	0.9463654	0.996890018	0.003109982	0
Bear_21_028	0.042352597	0.95264164	0.994994237	0.005005763	0
Bear_21_029	0.038327703	0.955833019	0.994160723	0.005839277	0
Bear_21_030	0.002980926	0.994479316	0.997460242	0.002539665	9.28E-08
Bear_21_031	0.045639113	0.945076928	0.990716041	0.009283959	0
Bear_21_032	0.033386608	0.957814786	0.991201394	0.008798606	0
Bear_21_033	0.022534147	0.973292162	0.995826309	0.004173691	0
Bear_21_034	0.041579422	0.948451963	0.990031385	0.009968615	0
Bear_21_035	0.045311266	0.946160106	0.991471372	0.008476637	0.000052
Bear_21_036	0.047624373	0.944463402	0.992087776	0.007912224	0
Bear_21_037	0.038156383	0.955465407	0.99362179	0.00637821	0
Bear_21_038	0.077080465	0.916251645	0.99333211	0.00666789	0
Bear_21_039_1	0.048850936	0.944818054	0.993668989	0.006331011	0
Bear_21_039	0.049008189	0.944565814	0.993574003	0.006425997	0
Bear_21_040	0.062076128	0.926404841	0.98848097	0.01151903	0
Bear_21_041	0.023556376	0.964066257	0.987622633	0.012377367	0
Bear_21_042	0.046101324	0.94567924	0.991780564	0.008219436	0
Bear_21_043	0.017895847	0.979818621	0.997714468	0.002285532	0
Bear_21_044	0.063874899	0.926837921	0.99071282	0.00928718	0
Bear_21_045	0.074214646	0.917737355	0.991952001	0.008047999	0
Bear_21_046	0.049634017	0.943246118	0.992880135	0.007119865	0
Bear_21_047	0.046957018	0.943038335	0.989995352	0.010004648	0
Bear_21_048	0.052339483	0.939475687	0.99181517	0.00818483	0
Bear_21_049	0.025789636	0.965724802	0.991514438	0.008485562	0
Bear_21_050	0.040373411	0.954037647	0.994411058	0.005588942	0
Bear_21_051	0.093529349	0.900973901	0.994503251	0.005394518	0.000102232
Bear_21_052	0.012917866	0.979818597	0.992736462	0.007263538	0
Bear_21_053	0.047266628	0.949689934	0.996956561	0.003043439	0
Bear_21_054	0.087425011	0.904448727	0.991873738	0.008126262	0
Bear_21_055	0.068197674	0.924956057	0.993153732	0.006846268	0
Bear_21_056	0.041479797	0.939151559	0.980631356	0.019368644	0
Bear_21_057	0.039968	0.955104733	0.995072734	0.004927266	0
Bear_21_058	0.067781175	0.917631281	0.985412456	0.014587544	0
Bear_21_061	0.034711322	0.962687422	0.997398744	0.002601256	0
Bear_21_062	0.067634461	0.927295538	0.994929999	0.005070001	0
Bear_21_063	0.026751226	0.966104214	0.99285544	0.00714456	0
